stats_o/std,stats_g/mean,stats_g/std,train/success_rate,train/episode,stats_o/mean,test/mean_Q,epoch,test/success_rate,test/episode
0.92523795,0.36718145,0.21612035,0.0016666666666666668,7500.0,0.20967455,-55.60437,75,0.020833333333333332,1500.0
0.9252231,0.3671836,0.2161252,0.0008333333333333334,7600.0,0.20967412,-58.309906,76,0.012500000000000002,1520.0
0.92520785,0.36718646,0.21613018,0.0025,7700.0,0.209675,-55.84961,77,0.016666666666666666,1540.0
0.9251916,0.36718854,0.21613671,0.0016666666666666668,7800.0,0.20967524,-57.736603,78,0.020833333333333332,1560.0
0.9251763,0.3671914,0.2161404,0.0008333333333333334,7900.0,0.20967542,-55.73648,79,0.025000000000000005,1580.0
0.92516154,0.36719322,0.21614678,0.0016666666666666668,8000.0,0.20967527,-59.573162,80,0.016666666666666666,1600.0
0.92514664,0.367196,0.21615444,0.0016666666666666668,8100.0,0.20967518,-58.003986,81,0.012500000000000002,1620.0
0.9251302,0.36719826,0.21616341,0.0008333333333333334,8200.0,0.20967536,-56.64266,82,0.024999999999999998,1640.0
0.92511296,0.36720076,0.21616985,0.0025,8300.0,0.20967562,-58.74426,83,0.020833333333333332,1660.0
0.9250967,0.3672053,0.21617387,0.0025,8400.0,0.20967616,-57.197697,84,0.016666666666666666,1680.0
0.9250803,0.3672082,0.21617778,0.0,8500.0,0.20967625,-55.43262,85,0.020833333333333332,1700.0
0.9250652,0.3672109,0.21618412,0.0,8600.0,0.20967682,-58.478596,86,0.016666666666666666,1720.0
0.9250491,0.3672142,0.21618938,0.0016666666666666668,8700.0,0.20967682,-58.583755,87,0.012500000000000002,1740.0
0.92503375,0.3672185,0.2161948,0.0025,8800.0,0.20967753,-58.62347,88,0.012500000000000002,1760.0
0.92501706,0.3672212,0.21620224,0.0016666666666666668,8900.0,0.2096784,-57.894306,89,0.012500000000000002,1780.0
0.92500097,0.36722478,0.21620901,0.0008333333333333334,9000.0,0.20967896,-59.423523,90,0.012500000000000002,1800.0
0.9249849,0.3672274,0.2162145,0.0008333333333333334,9100.0,0.20967966,-59.274734,91,0.016666666666666666,1820.0
0.92496985,0.36723188,0.21622078,0.0,9200.0,0.20967992,-57.59621,92,0.025000000000000005,1840.0
0.92495656,0.3672361,0.216228,0.0008333333333333334,9300.0,0.20967953,-61.51769,93,0.008333333333333333,1860.0
0.9249423,0.36723986,0.21623413,0.0,9400.0,0.2096789,-60.29826,94,0.012500000000000002,1880.0
0.9249284,0.3672435,0.21624179,0.0025,9500.0,0.20968013,-58.268127,95,0.016666666666666666,1900.0
0.9249123,0.367246,0.21624868,0.0,9600.0,0.20968108,-59.889343,96,0.012500000000000002,1920.0
0.9248972,0.3672479,0.21625566,0.0033333333333333335,9700.0,0.20968215,-59.757984,97,0.012500000000000002,1940.0
0.9248833,0.3672506,0.21626084,0.0025,9800.0,0.20968373,-59.357067,98,0.025000000000000005,1960.0
0.9248684,0.36725307,0.21626563,0.0016666666666666668,9900.0,0.20968483,-58.905125,99,0.016666666666666666,1980.0
0.92485243,0.3672563,0.21627127,0.0008333333333333334,10000.0,0.20968461,-57.829784,100,0.041666666666666664,2000.0
