epoch,test/success_rate,stats_o/mean,train/success_rate,test/mean_Q,stats_g/mean,test/episode,stats_o/std,stats_g/std,train/episode
226,0.008333333333333333,0.21073328,0.0,-55.827587,0.36881033,4520.0,0.9204529,0.21492164,22600.0
227,0.029166666666666664,0.2107327,0.0,-56.14809,0.36881348,4540.0,0.9204493,0.21492858,22700.0
228,0.008333333333333333,0.2107315,0.0016666666666666668,-59.043255,0.368816,4560.0,0.9204457,0.2149369,22800.0
229,0.004166666666666667,0.21073051,0.0,-59.66863,0.36881873,4580.0,0.9204412,0.21494414,22900.0
230,0.025000000000000005,0.21072955,0.0008333333333333334,-56.81502,0.36882147,4600.0,0.9204373,0.21494953,23000.0
231,0.016666666666666666,0.21072944,0.0,-57.249104,0.36882505,4620.0,0.92043287,0.2149533,23100.0
232,0.03333333333333333,0.21072884,0.0008333333333333334,-55.957966,0.36882785,4640.0,0.920428,0.2149566,23200.0
233,0.020833333333333332,0.21072884,0.0025,-58.809795,0.3688307,4660.0,0.9204219,0.21496157,23300.0
234,0.02916666666666667,0.21072854,0.0008333333333333334,-55.911884,0.36883357,4680.0,0.9204156,0.21496733,23400.0
235,0.008333333333333333,0.21072797,0.0016666666666666668,-56.621716,0.36883727,4700.0,0.9204084,0.21496929,23500.0
